 EMILI Output File
 ------------------------------------
 Input Line List: zone-0-emi.in
 Input Matched List: zone-0-emi.match
 Results List: zone-0-emi.out
 Short Results List: zone-0-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       50.00
 Ni                         I     - XXIX        50.00
 Si                         I     - XV          50.00
 Ca                         I     - XXI         50.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    165.700958    
 irvcor 2:    170.145630    
 irvcor 3:    164.595108    
 irvcor 4:    161.649811    
 irvcor 5:    161.649811    

   4880.71 |    4881.530  Al II      873573408    262  4.9E-06 -50.2 2/0 * 
   4880.76 |    4881.614  O  III     539020331    263  5.6E-06 -52.5 5/0 9 
   4880.62 |    4881.610  C  I       402896911      6  1.9E-04 -60.7 1/0 7 
   4880.76 |    4881.790  N  III     471906335    262  7.2E-07 -63.3 7/0 * 
   4880.62 |    4881.718  Fe I      1745047616      8  1.0E-06 -67.3 6/0 * 
   4880.76 |    4881.900  O  V       541186147    261  1.3E-05 -70.0 3/0 9 
   4880.62 |    4881.819 [Mn II]    1678788610     39  5.2E-04 -73.6 2/0 8 
   4880.71 |    4882.224  Cr II     1612127481      7  1.5E-06 -92.9 2/0 * 
   4880.62 |    4882.143  Fe I      1745072197      8  9.5E-07 -93.5 */0 * 
   4880.71 | >  4883.424  O  I       537062465    264  4.4E-04-166.6 2/0 0<

Observed Line:  4924.60  9.0E-03  S/N:    27.06 FWHM:  54.2
+  4921.81 |    4921.528 [V  II]    1544601604     55  6.6E-05  17.1 7/0 6 
+  4921.90 |    4921.657 [Mn III]   1679878181     39  2.9E-06  14.8 4/0 7 
+  4921.95 |    4921.960$ O  III     539105383      6  5.6E-06  -0.7 0/0 4C
+  4921.90 |    4921.931  He I       134244359    265  1.0E-04  -1.9 0/0 3A
+  4921.90 |    4921.960 [Fe III]   1746954247     38  1.2E-03  -3.7 1/0 3A
+  4921.90 |    4922.183  Co II     1813080110      7  7.2E-06 -17.3 0/0 5D
+  4921.90 |    4922.193$ Fe II     1746386176      7  2.3E-06 -17.9 0/0 5D
   4921.95 |    4922.300 [Co VII]   1818235906     53  6.3E-06 -21.4 7/0 8 
   4921.90 |    4922.357  Cr II     1612125431      7  1.5E-06 -27.9 8/0 9 
   4921.90 |    4922.466$ Fe II     1746402563      7  2.3E-06 -34.5 0/0 7 
   4921.90 |    4922.600  O  I       537136285      5  4.3E-04 -42.7 0/0 6 
   4921.81 |    4922.694  C  I       402850830    263  1.9E-04 -54.0 0/0 6 
   4921.95 |    4923.000  Ne IV      674310215    261  1.3E-06 -64.1 2/0 * 
   4921.81 |    4922.900  C  I       402890769      6  1.9E-04 -66.5 1/0 7 
   4921.81 |    4923.046 [V  II]    1544597506     39  6.7E-05 -75.4 5/0 9 
   4921.90 |    4923.196  Cr II     1611971763      7  4.0E-06 -79.0 5/0 * 
   4921.90 |    4923.337  S  II     1075014751    263  2.6E-05 -87.6 1/0 8 
   4921.90 | >  4923.927  Fe II     1745957924      8  4.7E-04-123.5 2/0 0<

Observed Line:  4933.74  5.3E-04  S/N:     2.71 FWHM:  81.2
+  4931.04 |    4930.530 [Fe III]   1746935812     38  8.5E-03  30.7 6/1 4D 5270.400  11.3
+  4931.04 |    4930.530 [Cr III]   1612726277     54  5.9E-03  30.7 5/0 5 
+  4931.04 |    4930.780* O  I       536976396      6  5.1E-04  15.5 0/0 3B
+  4931.04 |    4930.948$ Ne I       671244302      7  6.0E-05   5.3 0/0 4D
+  4931.04 |    4931.000  O  I       537254079      5  4.3E-04   2.1 0/0 3B
+  4931.08 |    4931.226 [O  III]    538972161     55  2.3E-02  -8.7 2/2 1A 5006.843  -2.4 4958.911  -2.0
   4931.04 |    4931.827* O  I       537125012      6  4.3E-04 -48.1 0/0 5 
   4930.94 |    4932.049  C  I       402706442    263  1.9E-04 -67.3 0/0 8 
   4931.04 |    4932.248$ S  II     1074987083      7  2.6E-05 -73.8 0/0 8 
