 8678.22  4.1E-04  | Fe I]  8673.76, Fe I  8674.54, 
 8685.31  6.0E-04  | Fe I  8680.61, 
 8688.56  1.1E-03  | Fe II  8683.26, 
 8700.04  1.0E-03  | [Co II]  8695.33, 
 8700.95  2.2E-03  | C II  8696.70, 
 8708.10  2.2E-03  | N I  8703.25, 
 8716.48  2.9E-03  | N I  8711.70, 
 8723.61  1.3E-03  | N I  8718.84, 
 8732.11  3.0E-03  | [C I]  8727.12, 
 8738.45  2.6E-04  | [V III]  8734.00, [Fe II]  8734.82, 
 8743.66  3.4E-04  | [Fe II]  8739.07, 
 8755.14  1.6E-02  | 
 8781.39  2.2E-04  | He I  8776.73, 
 8794.06  8.4E-04  | Fe II]  8789.31, 
 8814.93  4.2E-04  | Fe I  8810.15, 
 8855.53  1.2E-03  | [Fe II]  8851.15, 
 8865.68  4.9E-03  | [Fe II]  8861.43, H I  8862.78, 
 8867.53  2.2E-02  | H I  8862.78, 
 8893.93  3.0E-04  | Fe II  8890.90, Fe I  8890.91, 
 8898.39  1.5E-03  | Ni I  8893.87, 
 8952.16  9.5E-04  | O II  8947.40, 
 9019.79  2.6E-02  | H I  9014.91, 
 9025.49  4.0E-04  | N I  9020.64, Cr I  9020.76, 
 9034.36  1.9E-03  | C II  9029.30, 
 9038.42  5.0E-04  | [Fe II]  9033.50, 
 9056.17  4.9E-04  | [Fe II]  9051.95, 
 9065.98  1.3E-03  | N I  9060.48, Ne I  9061.30, Fe II]  9061.35, C I  9061.43, 
 9073.76  1.7E-01  | [S III]  9068.60, 
 9090.07  7.6E-04  | He I  9085.63, 
 9100.19  2.7E-03  | Fe II  9095.11, 
 9127.22  1.6E-03  | O III  9122.00, C I  9122.85, 
 9148.08  8.7E-04  | O II  9143.50, C II  9144.20, 
 9209.17  3.3E-03  | Fe II  9204.07, 
 9223.17  3.3E-03  | Mg II  9218.25, 
 9233.93  3.4E-02  | H I  9229.01, 
 9249.15  2.1E-03  | Mg II  9244.26, 
 9268.14  2.5E-04  | Fe I  9263.22, 
 9302.49  2.0E-03  | Fe II  9297.27, Fe II  9297.30, 
