 EMILI Output File
 ------------------------------------
 Input Line List: zone-III-emi.in
 Input Matched List: zone-III-emi.match
 Results List: zone-III-emi.out
 Short Results List: zone-III-emi.dat
 Abundance Table: abun_smc.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    1.00000005E-03
 ix 2:   0.500000000    
 ix 3:   0.500000000    
 ix 4:    9.99999975E-05
 ix 5:    1.00000001E-10

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       10.00
 Ni                         I     - XXIX        10.00
 Si                         I     - XV          10.00
 Ca                         I     - XXI         10.00
 Mg                         I     - XIII        10.00
 Ti                         I     - XXIII       10.00
 Al                         I     - XIV         10.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    217.264297    
 irvcor 2:    168.675568    
 irvcor 3:    169.886063    
 irvcor 4:    169.375748    
 irvcor 5:    169.375748    

Observed Line:  4610.21  7.5E-05  S/N:     1.54 FWHM:  57.7
+  5055.51 |    5055.460$ Ar I      1208410127      6  6.7E-07   2.8 0/0 4A
+  5055.53 |    5055.600  S  I      1073961022      5  1.4E-06  -4.3 1/0 5B
+  5055.53 |    5055.804$ Fe I      1745670274      8  5.8E-07 -16.4 0/0 5B
+  5055.51 |    5055.790 [Co III]   1814062096     38  1.8E-05 -16.8 4/0 6 
+  5055.51 |    5055.984  Si II      940591117    263  5.7E-06 -28.3 2/0 6 
+  5055.51 |    5056.020$ Ar I      1208409103      6  6.7E-07 -30.4 0/0 5B
   5055.51 |    5056.222  Cr II     1612218653      7  6.2E-07 -42.4 8/0 8 
   5055.51 |    5056.316  Si II      940590093    263  5.7E-06 -48.0 2/0 7 
   5055.52 |    5056.420  Ar III    1210108965    262  2.1E-06 -53.6 3/0 9 
   5055.51 |    5056.430$ Ar I      1208408079      6  6.7E-07 -54.7 0/0 7 
   5055.51 |    5056.848  Mn II     1679118563      7  3.1E-07 -79.5 5/0 * 
   5055.51 |    5056.880$ Ar I      1208297483      6  6.7E-07 -81.4 0/0 8 
   5055.51 |    5056.970$ Ar I      1208407055      6  6.7E-07 -86.8 0/0 8 
   5055.53 |    5057.154$ Fe I      1745655936      8  5.8E-07 -96.5 0/0 8 
   5055.51 |    5057.194  Cr II     1611921551      7  1.9E-06-100.1 5/0 * 
   5055.51 |    5057.358  Mn II     1679117539      7  3.1E-07-109.8 5/0 * 
