Index,ID,wave,flux,s_n,d_vel,type,species,sigma_d_vel,fcat
2942,UIL,8277.2261,0.2241580694798609,50.96441124780348,23.692689047799405,Unidentified,UIL,14.804332475268021,0.1
2951,UIL+,8288.2327,0.2256344845415671,783.6174496645908,,Unidentified,UIL,7.4021662376340105,0.1
2954,UIL,8291.7815,0.1172393291719999,inf,-9.548330047521413,Unidentified,UIL,7.4021662376340105,0.1
2957,H I 8292.31,8296.8644,0.0523765085653826,inf,1.427269134151694,Medium,H I,7.552805481623011,0.0
2963,UIL+,8303.9017,0.2949338872430648,14.696132725483649,12.676159521898754,Unidentified,UIL,7.4021662376340105,0.1
2967,UIL+,8309.8816,0.2279735452020157,inf,18.118774599200925,Unidentified,UIL,14.804332475268021,0.1
2968,UIL,8310.0909,0.2529368469669989,61.85592826157157,-5.440118867634866,Unidentified,UIL,7.4021662376340105,0.1
2969,H I 8306.11+,8310.3747,0.1744914097827504,246.0327261395184,-4.588603807105574,Medium,H I,2.559064272547758,0.1
2975,H I 8314.26,8318.8325,0.1836899964338005,41.52643075578854,-2.4000985542464726,Medium,H I,2.559064272547758,0.1
2982,H I 8323.42,8327.833,0.1945437146959175,13.781036262674023,3.5711290187697005,Medium,H I,2.559064272547758,0.1
2987,UIL,8333.7476,0.093533986127805,10.556379498364246,,Unidentified,UIL,18.628480800496863,0.0
2991,UIL+,8338.7118,0.7001470614228108,16.02126389955165,7.805358757588915,Unidentified,UIL,7.4021662376340105,0.1
3000,H I 8345.55,8350.492,0.1376365598321625,3.928446983999943,13.176309586509987,Medium,H I,5.118128545095516,0.1
3011,H I 8359.00+,8363.9591,0.2592890741022067,25.29680034264416,20.776255418886702,Medium,H I,5.118128545095516,0.1
3023,H I 8374.48,8379.077,0.2599770611327003,42.21218745909624,-0.440077328391386,Medium,H I,2.559064272547758,0.1
3034,UIL,8391.9295,0.1064139683087893,393.3285714286064,8.281028970367938,Unidentified,UIL,7.4021662376340105,0.1
3037,H I 8392.40+,8396.8325,0.2460774857605329,inf,-1.4423959308898187,Medium,H I,2.559064272547758,0.1
3045,UIL,8405.3588,0.0215737071269415,8.190564117328082,46.23846853066089,Unidentified,UIL,37.256961600993726,0.0
3054,H I 8413.32+,8418.0196,0.2869670347192188,24.79491298837262,4.334186820976709,Medium,H I,2.559064272547758,0.1
3074,H I 8437.96,8442.5698,0.4598177166243694,67.94452241107642,2.357857411240249,Medium,H I,2.559064272547758,0.1
3081,O I 8446.48,8451.4434,0.4826273293008135,56.98037873602561,15.151001283956502,Neutral,O I,10.54541420736827,0.1
3091,UIL+,8464.5263,0.6282570778949729,16.701976701305195,7.930190602112075,Unidentified,UIL,7.4021662376340105,0.1
3098,H I 8467.26,8471.9255,0.5086685247164094,27.68702309221658,1.288076997008222,Medium,H I,2.559064272547758,0.1
3104,UIL,8480.053,0.156823753682595,14.709359162236076,-8.272294932012729,Unidentified,UIL,7.4021662376340105,0.1
3122,UIL,8502.5328,0.131683082637154,11.912937062937065,-4.82690601283198,Unidentified,UIL,7.4021662376340105,0.1
3126,H I 8502.49,8507.2039,0.4998589346917963,67.58866814291292,6.812014802431912,Medium,H I,5.118128545095516,0.1
3138,He I 8518.04,8521.4555,0.018896337544858,5.053375382213458,-31.810710428987576,Medium,He I,15.105610963246022,0.0
3142,UIL,8527.4014,0.1491197905118645,67.09997156125951,-0.7101569425518772,Unidentified,UIL,7.4021662376340105,0.1
3147,UIL,8534.0915,0.0587585671165467,9.05203207737026,-0.19672119326178,Unidentified,UIL,18.628480800496863,0.0
3160,H I 8545.38,8549.8966,0.7332934934773235,54.51970326866721,1.1886698866295617,Medium,H I,2.559064272547758,0.1
3164,UIL,8554.9433,0.2882101339042756,14.640227741238832,-0.4695779392017149,Unidentified,UIL,7.4021662376340105,0.1
3172,UIL,8565.1983,0.1660882728005427,44.16528368760752,4.123201358398967,Unidentified,UIL,7.4021662376340105,0.1
3187,[Cl II] 8578.69+,8583.4912,0.1230275027138789,142.10491071429183,7.656113751662987,Low,[Cl II],5.272707103684135,0.1
3190,He I 8582.61+,8587.9146,0.027732030058433,15.44723806829645,-4.255303366517922,Medium,He I,7.552805481623011,0.0
3202,H I 8598.39,8603.1337,0.7326465246437699,18.97794203371844,2.3661225395024426,Medium,H I,2.559064272547758,0.1
3213,UIL,8615.8171,0.1070835965023559,33.421298114386445,,Unidentified,UIL,7.4021662376340105,0.1
3218,[Fe II] 8616.95,8622.7016,0.0425899396681985,145.9536529770139,33.25214531509629,Fe,[Fe II],16.914446316658967,0.0
3221,UIL,8625.2298,0.0692126139457544,11.602017429938805,-15.584506522343776,Unidentified,UIL,18.628480800496863,0.0
3244,UIL+,8655.0245,0.2651826432170855,41.951688237067714,7.675970147452262,Unidentified,UIL,7.4021662376340105,0.1
3252,UIL,8664.4497,0.4770115411210775,16.366463333775393,2.318237245652771,Unidentified,UIL,7.4021662376340105,0.1
3256,H I 8665.02,8669.8603,1.0881121030361471,29.4968306354445,9.557856103266337,Medium,H I,2.4071670719722795,1.0
3263,UIL+,8679.4977,0.0396851055394478,10.62931577151272,49.65990652784363,Unidentified,UIL,37.256961600993726,0.0
3268,N I 8680.282,8685.3879,0.0092402810924831,2.5113262159830203,2.8580245871201617,Neutral,N I,16.914446316658967,0.0
