Index,Type,ID,flux,wave,wn,dwn,mutual
623,"Fe, Ni",[Fe II] 5376.452,0.1002026465809206,5379.1736,18590.21616257188,149.03160841801946,True
589,"Fe, Ni",[Fe II] 5333.646,0.17872081284716,5336.3935,18739.2477709899,149.03160841801946,True
539,"Fe, Ni",[Fe III] 5270.40+,0.2250696577701481,5273.4603,18962.880975893568,32.9611951761799,True
531,"Fe, Ni",[Fe II] 5261.61,0.497936880594056,5264.3099,18995.842171069748,32.9611951761799,True
498,Med Perm,Si II 5219.31 ,0.0714428534304472,5222.9326,19146.331698785463,76.92678308806717,True
482,Neutral,[N I]  5199.00+,0.6642167895384841,5202.0317,19223.25848187353,76.92678308806717,True
449,"Fe, Ni",[Fe II] 5158.81,0.5203004617503251,5161.3058,19374.941899392976,41.02353055823551,True
441,Neutral,O I 5146.61,0.0973548058700611,5150.4006,19415.96542995121,41.02353055823551,True
428,Stellar,O I 5131.14,0.0346212309228145,5134.8689,19474.693891405866,58.72846145465519,False
367,Med Perm,Si II 5055.98,0.9776221823742732,5058.6242,19768.220774336227,31.543810422812385,False
360,Med Neb,He I 5047.74,0.1847589488462094,5050.5651,19799.76458475904,27.464116693096003,True
356,Med Perm,Si II 5041.03,0.4814846215319588,5043.5692,19827.228701452135,27.464116693096003,True
335,Med Neb,He I 5015.68,2.425050911188918,5018.5114,19926.227526353727,35.41298753634692,True
328,Med Neb,[O III] 5006.84,476.5381855635561,5009.6083,19961.640513890074,35.41298753634692,True
311,"Fe, Ni",[Fe III] 4987.20+,0.2216087082996279,4989.0025,20044.08696928895,82.44645539887642,False
289,Med Neb,[O III] 4958.91,146.8983794484866,4961.663,20154.532865291334,110.44589600238396,False
268,"Fe, Ni",[Fe III] 4930.64,0.0331705488668938,4933.4276,20269.882951155498,36.06720598107859,True
260,Med Neb,He I 4921.93,1.162489758721587,4924.6649,20305.950157136576,36.06720598107859,True
227,"Fe, Ni",[Fe III] 4881.073,0.4347426800642468,4883.5109,20477.071117011325,82.12503815583477,True
211,Med Neb,H I 4861.32,100.0,4864.0034,20559.19615516716,82.12503815583477,True
174,"Fe, Ni",[Fe II] 4814.534,0.3466295583528447,4817.0036,20759.79349486058,196.5496433798835,False
138,"Fe, Ni",[Fe III] 4769.53,0.0839637220760682,4771.8249,20956.343138240463,64.57959576344729,False
126,"Fe, Ni",[Fe III] 4754.81,0.1728077908760379,4757.1651,21020.92273400391,63.86247655423358,False
114,High Neb,[Ar IV] 4740.17,1.4406623177432871,4742.7564,21084.785210558144,30.036853991721728,True
110,"Fe, Ni",[Fe III] 4734.00,0.0416261617862137,4736.0096,21114.822064549866,30.036853991721728,True
91,High Neb,[Ar IV] 4711.37+,1.538814277307965,4714.1308,21212.81827818608,45.589315725268534,True
83,"Fe, Ni",[Fe III] 4701.62,0.2526807590715527,4704.0212,21258.40759391135,45.589315725268534,True
71,High Neb,He II  4685.68,0.2314364630157585,4688.0969,21330.61712098997,72.20952707861943,False
49,"Fe, Ni",[Fe III] 4658.10,0.7177713423269573,4660.4396,21457.20330760214,37.32407825278278,True
42,High Perm,O II 4649.13+,0.1560841297577007,4652.347,21494.527385854923,37.32407825278278,True
35,High Perm,O II 4641.81+,0.0573654448474073,4641.7636,21543.535737149556,49.00835129463303,False
7,"Fe, Ni",[Fe III] 4607.12+,0.0687294248487587,4609.1234,21696.099522959175,152.56378580961973,False
