Index,Type,ID,zone-0,zone-I,zone-II,zone-III,zone-IV,zone-MYSO,zone-S
1190,Neutral?,UIL,6086.8546,6086.8841,6087.7456,6086.5764,6085.8101,6087.687,6085.7818
1204,High Neb,[K IV] 6101.79,6104.3291,6104.747,6104.3377,6104.3472,6104.9611,6106.1381,6106.0536
1268,Deep Neutral,UIL,6184.8392,6183.6762,6186.3977,6186.2521,6184.849,6185.5621,6184.3005
1300,Deep Neutral,UIL,6225.3706,6223.9318,6225.4113,6223.8704,6224.9062,6225.1834,6223.2036
1312,Deep Neutral?,UIL,6239.435,6239.0547,6240.4173,6239.709,6239.2586,6237.4009,6238.4134
1322,Deep Neutral?,UIL,6252.2491,6251.0263,6250.1949,6253.1309,6250.3507,6252.0366,6252.5559
1332,Deep Neutral?,UIL,6265.2352,6265.5394,6265.3562,6264.5614,6267.8074,6265.9833,6265.2596
1339,Deep Neutral,UIL+,6274.2358,6274.953,6274.7855,6276.5989,6275.0352,6274.7415,6275.0887
1363,Low Neb,[O I] 6300.30,6304.082,6302.8954,6303.9837,6303.5771,6303.5788,6303.7967,6303.5329
1372,Med Neb,[S III] 6312.06,6315.4897,6314.1643,6315.5529,6315.567,6315.5991,6315.3944,6315.4929
1401,Med Perm,Si II 6347.11,6350.9419,6350.5907,6350.9421,6350.7058,6351.7655,6350.4627,6351.8182
1414,Low Neb,[O I] 6363.78 ,6367.5604,6366.214,6367.476,6367.0745,6367.047,6367.3373,6367.0045
1420,Med Perm,Si II 6371.36 ,6375.2059,6374.5103,6375.0278,6370.4736,6377.6783,6374.7956,6377.8185
1470,Deep Neutral?,UIL,6437.8171,6436.9245,6438.7981,6438.1849,6438.3081,6437.2061,6437.9195
1484,Deep Neutral?,UIL,6454.8244,6454.5257,6454.8732,6453.7155,6454.9567,6453.2726,6456.7663
1490,Deep Neutral?,UIL,6462.9666,6461.3969,6463.0272,6462.1513,6461.9643,6461.1113,6462.5119
1498,Deep Neutral?,UIL,6471.5046,6470.7036,6475.468,6471.3901,6471.3998,6470.9,6470.758
1512,Deep Neutral?,UIL,6490.1882,6492.3171,6489.3786,6488.2135,6729.7885,6488.5859,6488.6844
1524,Deep Neutral?,UIL,6505.4389,6505.0709,6504.8713,6505.4227,6505.093,6505.5839,6505.5602
1547,Deep Neutral?,UIL,6532.983,6533.0347,6532.841,6533.3092,6533.0614,6533.0833,6533.182
1561,Low Neb,[N II] 6548.05,6551.7784,6550.9054,6551.764,6552.0135,6550.6518,6551.5574,6551.9969
1573,Med Neb,H I 6562.79,6566.3856,6562.0134,6566.3883,6566.4368,6566.5125,6566.2839,6566.49
1590,Low Neb,[N II] 6583.45,6587.1412,6586.4095,6587.11,6587.4221,6586.0852,6587.0159,6587.5394
1603,Neutral?,UIL,6604.0893,6604.322,6604.1102,6604.3671,6604.2064,6604.1077,6604.2942
1616,Deep Neutral?,UIL,6619.0596,6620.4084,6620.1938,6621.159,6619.1702,6619.7207,6619.3511
1626,Deep Neutral?,UIL,6632.5349,6631.695,6633.6607,6632.1473,6632.0914,6631.4384,6632.5912
1632,Deep Neutral?,UIL,6640.6035,6640.8031,6640.7497,6640.6099,6639.6098,6641.0111,6640.8964
1640,Deep Neutral?,UIL,6649.5028,6650.3127,6649.5866,6649.3611,6648.997,6649.5586,6650.3816
1648,Deep Neutral?,UIL,6659.6878,6661.5172,6659.7226,6656.5362,6659.4532,6659.3446,6660.9296
1657,"Fe, Ni",[Ni II]  6666.80,6671.5228,6669.7011,6672.2916,6672.9877,6669.5531,6671.1509,6667.1257
1665,Med Neb,He I 6678.15,6681.7869,6680.7378,6681.8614,6681.8463,6681.8951,6681.7323,6681.9192
1682,Deep Neutral?,UIL,6702.9884,6703.6863,6702.0391,6702.893,6702.9739,6703.2962,6702.2974
1696,Low Neb,[S II] 6716.44,6720.2652,6719.1536,6720.2228,6720.6016,6719.665,6720.1752,6720.5596
1708,Low Neb,[S II] 6730.816,6734.6442,6733.6996,6734.5955,6735.1446,6734.0966,6734.5243,6735.3642
1744,Deep Neutral,UIL,6780.6538,6781.4329,6780.561,6780.6115,6780.1739,6780.5663,6781.5774
1756,None,None,6794.3527,6795.896,6794.466,6793.3004,6795.7036,6794.5212,6794.4357
1759,High Neb,[K IV] 6795.1,6798.7468,6798.1119,6805.9228,6797.5348,6798.3904,6798.5456,6799.2374
1794,None,None,6841.8674,6841.8308,6841.6988,6842.5664,6841.5741,6841.7095,6841.2076
1801,Deep Neutral?,UIL,6851.4029,6852.28,6850.7738,6849.8266,6853.429,6851.2565,6851.8854
1913,Deep Neutral?,UIL,6991.2983,6991.8452,6991.662,6989.331,6858.1119,6991.2593,6991.3142
1925,Neutral,O I 7001.92,7006.4907,7006.3938,7006.8207,7005.5134,7004.9069,7006.1493,7004.9339
1931,Deep Neutral?,UIL,7013.9891,7011.7581,7012.8092,7015.8512,7011.7852,7013.5574,7012.9364
1936,Deep Neutral?,UIL,7019.6691,7019.5477,7020.1305,7020.9937,7020.4638,7019.4413,7020.4866
1944,Deep Neutral?,UIL,7029.5643,7031.2492,7030.1974,7032.4231,7030.5887,7031.468,7031.8746
1954,Deep Neutral?,UIL,7041.8871,7041.6913,7042.2433,7043.0418,7042.2693,7042.8084,7043.4494
1958,Deep Neutral?,UIL,7047.579,7048.0568,7047.3987,7048.2205,7046.1552,7047.0581,7048.1684
1969,Deep Neutral?,UIL,7060.5549,7058.3647,7059.8284,7057.2081,7057.9792,7061.136,7061.2251
1975,Med Neb,He I 7065.28,7069.1119,7067.8483,7069.1981,7069.1981,7069.2527,7069.0247,7069.3044
1987,Neutral?,UIL,7083.653,7082.5469,7083.1211,7082.9822,7082.9329,7082.8755,7083.1262
1997,Deep Neutral,UIL,7096.3439,7097.0135,7096.6224,7094.823,7095.6681,7096.3283,7096.5199
2008,Deep Neutral,UIL,7109.4311,7109.7889,7109.4872,7108.8378,7109.7645,7109.2988,7109.1781
2012,Deep Neutral,UIL,7115.598,7116.1949,7115.7631,7115.3399,7115.455,7115.2025,7114.1731
2032,Med Neb,[Ar III] 7135.78,7139.6217,7140.6399,7139.6889,7139.6805,7139.8386,7139.6345,7139.837
2039,Deep Neutral,UIL,7147.9514,7151.4215,7148.6493,7151.5209,7150.4848,7147.6071,7146.7197
2047,"Fe, Ni",[Fe II] 7155.14,7159.0678,7158.8668,7158.2133,7161.0607,7160.3961,7158.8737,7161.9823
2052,Med Neb,He I 7160.13,7165.3113,7162.2279,7165.0585,7164.8909,7164.829,7168.8156,7165.7278
2060,High Neb,[Ar IV] 7170.5,7174.2743,7174.2246,7173.7765,7174.292,7174.3787,7173.8304,7175.7295
2066,Deep Neutral,UIL,7182.6308,7182.9353,7182.9669,7182.1135,7182.3255,7182.2466,7184.9941
2071,Deep Neutral??,UIL,7188.8348,7189.0214,7188.696,7188.8993,7189.1954,7188.6346,7188.595
2079,Deep Neutral?,UIL,7198.2112,7198.3333,7198.2534,7198.3535,7198.4485,7198.2439,7198.2586
2082,Deep Neutral??,UIL,7203.0069,7202.9391,7202.6739,7202.5679,7203.3301,7202.6751,7202.5181
2101,Neutral?,UIL,7226.1989,7226.924,7227.5703,7228.0254,7228.8549,7227.2926,7227.6773
2114,Deep Neutral,UIL+,7241.7492,7242.9029,7242.8146,7243.1271,7243.0929,7241.8784,7244.2058
2127,Neutral,O I 7254.15+,7258.1025,7258.9531,7258.981,7257.0059,7259.3386,7258.4952,7259.2742
2134,High Neb,[Ar IV] 7262.7+,7267.5859,7271.3738,7267.789,7270.2967,7267.1959,7267.7119,7267.7868
2148,Med Neb,He I 7281.35,7285.2397,7284.4865,7285.3383,7285.3766,7285.3701,7285.1763,7285.2136
2154,?,UIL,7294.6812,7290.7628,7295.1879,7295.8258,7292.2897,7293.1441,7292.3283
2168,Deep Neutral??,UIL,7309.7465,7309.765,7310.1457,7310.7329,7309.9929,7310.7934,7310.4502
2179,Low Neb,[O II] 7319.99+,7323.9677,7323.3114,7323.9499,7324.1632,7325.0001,7323.8626,7324.247
2187,Low Neb,[O II] 7330.73+,7334.3161,7333.5939,7334.3214,7334.4775,7332.2161,7334.18,7334.6171
2199,Deep Neutral?,UIL,7344.3849,7348.7186,7349.0354,7348.7104,7348.7453,7349.2599,7349.1317
2225,"Fe, Ni",[Ni II] 7377.83,7381.3773,7381.1458,7381.2293,7381.5658,7381.6407,7381.7311,7380.0689
2252,"Fe, Ni",[Ni II] 7411.61 ,7414.3123,7414.3412,7414.885,7414.5488,7415.3834,7415.602,7414.3859
2263,"Fe, Ni?",UIL,7429.4772,7429.692,7429.2842,7427.701,7427.5799,7427.8188,7430.4486
2277,Neutral,N I 7442.30,7446.8508,7446.8064,7445.0326,7446.2719,7445.6911,7446.3578,7443.4358
2285,"Fe, Ni?",[Fe II] 7452.54?,7456.792,7454.4671,7455.1859,7462.4455,7455.7551,7456.4648,7456.3921
2294,Deep Neutral,UIL,7467.0097,7466.8323,7466.8614,7467.5266,7467.7769,7466.8417,7468.0028
2298,Neutral,N I 7468.31+,7473.0229,7473.2203,7473.3644,7471.3732,7470.5197,7472.4857,7470.4494
2314,Deep Neutral,UIL,7492.6501,7493.2071,7493.1254,7491.8112,7491.4889,7492.6443,7493.219
2323,Med Neb,He I 7499.85,7503.9354,7503.9259,7504.0908,7504.0932,7504.1333,7503.9192,7504.0941
2334,"Fe, Ni",Fe II 7513.1762,7517.5204,7517.585,7517.8082,7518.0914,7517.9752,7517.5511,7518.1846
2345,Deep Neutral?,UIL+,7530.587,7530.7785,7530.5315,7531.1575,7530.6322,7530.8093,7531.1223
2348,High Neb,[Cl IV] 7530.8,7534.6663,7534.3201,7535.013,7534.8428,7534.5286,7535.9309,7534.6798
2426,Deep Neutral,UIL,7633.0713,7633.1204,7633.1053,7633.4341,7633.1081,7633.1599,7633.2042
2434,Deep Neutral,UIL,7641.9051,7642.0558,7641.9495,7642.5908,7641.9798,7642.1246,7642.0042
2454,Deep Neutral,UIL,7667.5012,7667.7551,7667.6067,7668.0241,7668.0239,7667.5622,7667.8315
2489,Deep Neutral,UIL+,7711.8846,7711.9317,7711.8779,7710.3208,7710.0663,7712.6348,7708.0605
2490,Deep Neutral,UIL+,7711.8435,7712.4562,7712.1684,7712.9626,7712.854,7711.8294,7712.8759
2501,Deep Neutral?,UIL+,7725.8618,7725.8255,7725.7368,7726.6059,7726.167,7725.5624,7726.7198
2503,Deep Neutral?,UIL,7728.8983,7708.913,7727.4043,7728.449,7728.2208,7728.1118,7722.4863
2516,Deep Neutral?,UIL,7744.0593,7743.7881,7743.4593,7743.5916,7743.3815,7744.0374,7743.0579
2524,Med Neb,[Ar III] 7751.10,7755.3351,7753.2414,7755.4376,7755.4136,7755.5114,7755.2813,7755.5501
2538,Deep Neutral,UIL,7773.0803,7773.552,7773.162,7771.655,7771.6766,7773.0852,7773.7944
2549,Deep Neutral,UIL,7786.3505,7787.5809,7787.1473,7788.4518,7788.1876,7786.3886,7787.2956
2556,Deep Neutral,UIL+,7794.5052,7794.2889,7794.2388,7794.6214,7794.3178,7794.7092,7794.5494
2565,Deep Neutral,UIL,7807.5856,7805.8345,7805.6243,7806.3625,7805.9091,7806.9534,7805.4711
2577,Med Neb,He I 7816.13+,7821.3997,7821.7134,7821.4544,7821.8019,7821.7317,7821.1533,7821.7666
2594,Deep Neutral,UIL,7842.0784,7841.7019,7841.7254,7841.8086,7841.756,7842.0372,7841.9152
2602,Deep Neutral,UIL+,7853.0672,7853.1339,7853.1458,7851.2443,7853.7222,7852.9655,7853.6629
2614,Deep Neutral?,UIL+,7866.8322,7868.2489,7866.9022,7866.8898,7870.7675,7866.8808,7866.9601
